Index,Restaurant Name,City,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
0,Le Petit Souffle,Makati City,"French, Japanese, Desserts",1100,Botswana Pula(P),Yes,No,No,No,3,4.8,Dark Green,Excellent,314
1,Izakaya Kikufuji,Makati City,Japanese,1200,Botswana Pula(P),Yes,No,No,No,3,4.5,Dark Green,Excellent,591
2,Heat - Edsa Shangri-La,Mandaluyong City,"Seafood, Asian, Filipino, Indian",4000,Botswana Pula(P),Yes,No,No,No,4,4.4,Green,Very Good,270
3,Ooma,Mandaluyong City,"Japanese, Sushi",1500,Botswana Pula(P),No,No,No,No,4,4.9,Dark Green,Excellent,365
4,Sambo Kojin,Mandaluyong City,"Japanese, Korean",1500,Botswana Pula(P),Yes,No,No,No,4,4.8,Dark Green,Excellent,229
5,Din Tai Fung,Mandaluyong City,Chinese,1000,Botswana Pula(P),No,No,No,No,3,4.4,Green,Very Good,336
6,Buffet 101,Pasay City,"Asian, European",2000,Botswana Pula(P),Yes,No,No,No,4,4,Green,Very Good,520
7,Vikings,Pasay City,"Seafood, Filipino, Asian, European",2000,Botswana Pula(P),Yes,No,No,No,4,4.2,Green,Very Good,677
8,Spiral - Sofitel Philippine Plaza Manila,Pasay City,"European, Asian, Indian",6000,Botswana Pula(P),Yes,No,No,No,4,4.9,Dark Green,Excellent,621
9,Locavore,Pasig City,Filipino,1100,Botswana Pula(P),Yes,No,No,No,3,4.8,Dark Green,Excellent,532
10,Silantro Fil-Mex,Pasig City,"Filipino, Mexican",800,Botswana Pula(P),No,No,No,No,3,4.9,Dark Green,Excellent,1070
11,Mad Mark's Creamery & Good Eats,Pasig City,"American, Ice Cream, Desserts",900,Botswana Pula(P),Yes,No,No,No,3,4.2,Green,Very Good,488
12,Silantro Fil-Mex,Quezon City,"Filipino, Mexican",800,Botswana Pula(P),No,No,No,No,3,4.8,Dark Green,Excellent,294
13,Guevarra's,San Juan City,Filipino,1000,Botswana Pula(P),Yes,No,No,No,3,4.2,Green,Very Good,458
14,Sodam Korean Restaurant,San Juan City,Korean,700,Botswana Pula(P),No,No,No,No,3,4.3,Green,Very Good,223
15,Cafe Arabelle,Santa Rosa,"Cafe, American, Italian, Filipino",800,Botswana Pula(P),No,No,No,No,3,3.6,Yellow,Good,29
16,Nonna's Pasta & Pizzeria,Santa Rosa,"Italian, Pizza",850,Botswana Pula(P),No,No,No,No,3,4,Green,Very Good,72
17,Balay Dako,Tagaytay City,Filipino,1200,Botswana Pula(P),Yes,No,No,No,3,4.5,Dark Green,Excellent,211
18,Hobing Korean Dessert Cafe,Taguig City,"Cafe, Korean, Desserts",600,Botswana Pula(P),No,No,No,No,2,4.5,Dark Green,Excellent,118
19,Wildflour Cafe + Bakery,Taguig City,"Cafe, Bakery, American, Italian",1500,Botswana Pula(P),Yes,No,No,No,4,4.4,Green,Very Good,392
20,NIU by Vikings,Taguig City,"Seafood, American, Mediterranean, Japanese",3000,Botswana Pula(P),Yes,No,No,No,4,4.7,Dark Green,Excellent,535
21,The Food Hall by Todd English,Taguig City,"American, Asian, Italian, Seafood",1800,Botswana Pula(P),Yes,No,No,No,4,4.5,Dark Green,Excellent,618
22,Chez Michou,Brasí_lia,"Fast Food, French",55,Brazilian Real(R$),No,No,No,No,2,3,Orange,Average,6
23,Cafí© Daniel Briand,Brasí_lia,Cafe,30,Brazilian Real(R$),No,No,No,No,1,3.8,Yellow,Good,9
24,Casa do Biscoito Mineiro,Brasí_lia,Bakery,45,Brazilian Real(R$),No,No,No,No,2,3.7,Yellow,Good,11
25,Maori,Brasí_lia,Brazilian,60,Brazilian Real(R$),No,No,No,No,3,3.8,Yellow,Good,11
26,Pizza íæ Bessa,Brasí_lia,Pizza,50,Brazilian Real(R$),No,No,No,No,2,3.2,Orange,Average,11
27,Sushi Loko,Brasí_lia,Japanese,80,Brazilian Real(R$),No,No,No,No,3,3.1,Orange,Average,10
28,Beirute,Brasí_lia,Arabian,90,Brazilian Real(R$),No,No,No,No,3,3.7,Yellow,Good,8
29,New Koto,Brasí_lia,Japanese,200,Brazilian Real(R$),No,No,No,No,4,3.7,Yellow,Good,5
30,Sandubas Cafí©,Brasí_lia,"Brazilian, Cafe",30,Brazilian Real(R$),No,No,No,No,1,0,White,Not rated,2
31,Villa Tevere,Brasí_lia,Italian,150,Brazilian Real(R$),No,No,No,No,4,4.1,Green,Very Good,12
32,Rovereto,Brasí_lia,Pizza,100,Brazilian Real(R$),No,No,No,No,4,3.1,Orange,Average,9
33,Buena Carne,Brasí_lia,"Bar Food, Brazilian",60,Brazilian Real(R$),No,No,No,No,3,3.6,Yellow,Good,9
